task_id,readability,conciseness,robustness
62e60e49d76274f8a4026d25,0,-1,0
62e5dc9ed76274f8a4026b5b,0,-1,0
62e5dc9ed76274f8a4026b5b,0,-1,0
62e5dc9ed76274f8a4026b5b,0,-1,0
62e4fb6585ea98643089032b,0,-1,0
62e4fb4d85ea9864308902e7,-1,1,0
62b8bbbfe0d34b282c181210,0,-1,1
62b8bbbfe0d34b282c181210,0,-1,1
62b8bbbfe0d34b282c181210,0,-1,1
62b8bbbfe0d34b282c181210,0,-1,1
62b8bbbfe0d34b282c18120f,0,-1,1
62b8bbbfe0d34b282c18120f,0,-1,1
62b8bbbce0d34b282c18120d,1,-1,0
62b8bbbce0d34b282c18120d,1,-1,0
62b8bbbce0d34b282c18120d,1,-1,0
62b8b3d4eb7e40a82d2d110e,0,-1,0
62b87b099a0c4fa8b80b3538,-1,-1,0
62b87b099a0c4fa8b80b3538,0,0,0
62b87af99a0c4fa8b80b3524,0,0,0
62b87af69a0c4fa8b80b351a,0,0,0
62b87af69a0c4fa8b80b351a,-1,0,0
62b87af69a0c4fa8b80b351a,-1,0,0
62b87af69a0c4fa8b80b351a,-1,0,0
62b87af69a0c4fa8b80b351a,-1,-1,0
62b45e135108cfac7f2109f4,0,0,0
62b463153879012d19481498,0,1,0
62b463153879012d1948149b,1,-1,0
62b463153879012d1948149b,1,-1,0
62b463153879012d1948149b,0,0,0
62b463153879012d1948149b,1,-1,0
62b463153879012d1948149b,1,-1,0
62b463153879012d1948149c,1,-1,0
62b463153879012d1948149c,1,-1,0
62b463153879012d1948149c,1,-1,0
62b463153879012d1948149c,1,-1,0
62b463283879012d1948153d,0,0,0
62b463283879012d1948153d,0,0,0
62b463283879012d1948153d,0,0,0
62b463283879012d1948153d,0,0,-1
62b89640755ee91dce50a114,1,-1,0
62b89640755ee91dce50a114,0,0,0
62b89640755ee91dce50a114,0,-1,0
62b89640755ee91dce50a114,0,-1,0
62b438b666fea644fe22cc72,0,1,0
62ece4982e6aefcf4aabbd5f,-1,1,0
62ece4982e6aefcf4aabbd5f,0,0,0
62ece4982e6aefcf4aabbd5f,0,0,0
62ece4982e6aefcf4aabbd61,-1,0,0
62ece4982e6aefcf4aabbd61,-1,0,0
62ece4982e6aefcf4aabbd61,-1,0,0
62ece4982e6aefcf4aabbd61,-1,0,0
62ece4982e6aefcf4aabbd61,-1,1,0
62ece4982e6aefcf4aabbd61,-1,0,0
62ece4982e6aefcf4aabbd62,0,-1,0
62ece4982e6aefcf4aabbd62,0,-1,0
62ece4982e6aefcf4aabbd62,0,0,0
62ece4982e6aefcf4aabbd63,0,-1,0
62ece4982e6aefcf4aabbd63,0,-1,0
62ece4982e6aefcf4aabbd63,0,0,0
62ece4982e6aefcf4aabbd63,0,0,0
62ece4982e6aefcf4aabbd63,0,-1,0
62ece4982e6aefcf4aabbd63,0,0,0
62ece4982e6aefcf4aabbd6a,-1,0,0
62ece4982e6aefcf4aabbd70,0,0,0
62ece4982e6aefcf4aabbd76,-1,0,0
62ece4982e6aefcf4aabbd76,0,-1,0
62ece4992e6aefcf4aabbd78,-1,1,0
62ece4992e6aefcf4aabbd78,-1,1,0
62ece4992e6aefcf4aabbd78,-1,-1,0
62ece4992e6aefcf4aabbd7d,-1,0,-1
62ece4992e6aefcf4aabbd7d,-1,0,0
62ece4992e6aefcf4aabbd7d,-1,-1,0
62ece4992e6aefcf4aabbd7d,-1,-1,-1
62ece4992e6aefcf4aabbd7d,0,-1,0
62ece4992e6aefcf4aabbd7e,0,0,-1
62ece4992e6aefcf4aabbd7e,1,1,0
62ece4992e6aefcf4aabbd7e,1,-1,0
62ece4992e6aefcf4aabbd7e,-1,0,0
62ece4992e6aefcf4aabbd7e,-1,0,0
62ece4992e6aefcf4aabbd7e,-1,1,0
62ece4992e6aefcf4aabbd7f,-1,0,0
62ece4992e6aefcf4aabbd80,0,0,0
62ece4992e6aefcf4aabbd80,0,-1,0
62ece4992e6aefcf4aabbd80,-1,1,0
62ece4992e6aefcf4aabbd80,-1,0,0
62ece4992e6aefcf4aabbd80,-1,0,0
62ece4992e6aefcf4aabbd80,-1,0,0
62ece4992e6aefcf4aabbd80,-1,0,0
62ece4992e6aefcf4aabbd80,-1,0,0
62ece4992e6aefcf4aabbd80,-1,1,0
62ece4992e6aefcf4aabbd84,0,0,0
62ece4992e6aefcf4aabbd84,0,0,0
62ece4992e6aefcf4aabbd85,-1,0,0
62ece4992e6aefcf4aabbd85,0,-1,0
62ece4992e6aefcf4aabbd85,0,-1,0
62ece4992e6aefcf4aabbd85,0,-1,0
62ece4992e6aefcf4aabbd88,0,0,0
62ece4992e6aefcf4aabbd88,0,0,0
62ece4992e6aefcf4aabbd89,0,-1,0
62ece4992e6aefcf4aabbd89,0,-1,0
62ece4992e6aefcf4aabbd8b,-1,1,0
62b8b4baeb7e40a82d2d1136,-1,1,1
62b8b4baeb7e40a82d2d1136,-1,1,0
62b8b4baeb7e40a82d2d1136,-1,1,0
62b8b4baeb7e40a82d2d1137,-1,1,0
62b8b4c1eb7e40a82d2d1139,-1,1,0
62b8b4c1eb7e40a82d2d1139,-1,1,0
62b8a7b2755ee91dce50a4a7,1,-1,0
6306292652e177c0ba469f34,0,0,1
6306298b52e177c0ba469fdc,-1,1,0
6306298b52e177c0ba469fdc,-1,0,0
6306299052e177c0ba469fe8,0,-1,0
6306299052e177c0ba469fe8,-1,-1,0
630629e152e177c0ba46a0d1,0,-1,0
